2026-07-28 02:15:51 [INFO] SeaScanner: Scan started for target: None
2026-07-28 02:15:51 [INFO] SeaScanner: Playwright available: True
2026-07-28 02:15:54 [INFO] SeaScanner: Target: https://digitizestore.vercel.app/
2026-07-28 02:15:56 [INFO] SeaScanner: JS crawling declined by user
2026-07-28 02:15:56 [DEBUG] urllib3.connectionpool: Starting new HTTPS connection (1): digitizestore.vercel.app:443
2026-07-28 02:15:56 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET / HTTP/1.1" 200 None
2026-07-28 02:15:58 [INFO] SeaScanner: Crawler decision: use_js=False (config=False, playwright=True, browser_available=N/A)
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET / HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /index.html HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Keyboards HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Combos HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Controllers HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Headsets HTTP/1.1" 200 None
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Microphones HTTP/1.1" 200 None
2026-07-28 02:15:58 [INFO] SeaScanner: Crawl completed: 1 useful pages
2026-07-28 02:15:58 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET / HTTP/1.1" 200 None
